1;Rosas;Rojo;Descripcion 1
2;Girasoles;Amarillo;Descripcion 2
3;Dondiego de noche;Fucsia;Descripcion 3
4;Dondiego de noche;Magenta;Descripcion 4
5;Dondiego de noche;Amarillo;Descripcion 5
6;Hortensias;Variado;Descripcion 6
7;Petunias;Rosa;Descripcion 7
8;Petunias;Rojo;Descripcion 8
9;Petunias;Variado;Descripcion 9
10;Gladiolos;Variado;Descripcion 10
11;Nomeolvides;Azul claro;Descripcion 11
12;Cactus de navidad;Rojo;Descripcion 12
13;Cactus de navidad;Fucsia;Descripcion 13
14;Cactus de navidad;Blanco;Descripcion 14
15;Ave del paraiso;Naranja;Descripcion 15
16;Ave del paraiso;Azul;Descripcion 16
17;Jacintos;Variado;Descripcion 17
18;Aguileña;Rosa;Descripcion 18
19;Aguileña;Violeta;Descripcion 19
20;Aguileña;Variado;Descripcion 20
21;Boca de dragon;Blanco;Descripcion 21
22;Boca de dragon;Variado;Descripcion 22
